 80404     iot   Car Tureis                                                   2,17                  
 80404     iot   Car Aspidiske                                                2,15                  
 80404     iot   Car Turais; Scutulum                                         2                     
 81146   1 kap   Leo Al Minliar al Asad                                       2                     
 81797  30 alf   Hya Alfard                                                   2,17,22               
 81797  30 alf   Hya Alphard                                                  2,15,19               
 81797  30 alf   Hya Cor Hydrae                                               2,17                  
 81797  30 alf   Hya Alphart; Kalbelaphard                                    2                     
 81797  30 alf   Hya Al'fard                                                 21,23,24               
 82308   4 lam   Leo Alterf                                                   2                     
 83808  14 omi   Leo Subra                                                    2,17                  
 84441  17 eps   Leo Ras Elased Australis                                     2,17                  
 84441  17 eps   Leo Al Ras al Asad al Janubiyyah; Algenubi                   2                     
 84441  17 eps   Leo Al Ashfar(with HD85503)                                  2                     
 84441  17 eps   Leo Al'genubi                                               24                     
 85503  24 mu.   Leo Ras Elased Borealis                                      2,17                  
 85503  24 mu.   Leo Rasalas                                                  2,15,24               
 85503  24 mu.   Leo Ras al Asad al Shamaliyy; Alshemali                      2                     
 85503  24 mu.   Leo Al Ashfar(with HD84441)                                  2                     
 87737  30 eta   Leo Al'dzhabkhakh                                           24                     
 87901  32 alf   Leo Regulus                                                  2,15,17,19,22         
 87901  32 alf   Leo Kalb                                                    17                     
 87901  32 alf   Leo Cor Leonis; Rex; Al Kalb al Asad; Kabeleced              2                     
 87901  32 alf   Leo Kal'b                                                   24                     
 87901  32 alf   Leo Regul                                                   21,23,24               
 89021  33 lam   UMa Tania Borealis                                           2,15,17               
 89021  33 lam   UMa Al Kafzah al Thaniyah(with HD89758)                      2                     
 89025  36 zet   Leo Adhafera                                                 2,15,17               
 89025  36 zet   Leo Aldhafara; Aldhafera                                     2                     
 89025  36 zet   Leo Adkhafera                                               24                     
 89484  41 gam01 Leo Algieba                                                  2,17,19               
 89484  41 gam01 Leo Algeiba; Al Gieba                                        2                     
 89484  41 gam01 Leo Al'gejba                                                21,24                  
 89484  41 gam01 Leo Al'gieba                                                23,24                  
 89758  34 mu.   UMa Tania Australis                                          2,15,17               
 89758  34 mu.   UMa Al Kafzah al Thaniyah(with HD89021)                      2                     
 93308     eta   Car Foramen                                                 24                     
 94264  46       LMi Praecipua                                                2                     
 95272   7 alf   Crt Alkes                                                    2,15,17               
 95272   7 alf   Crt Al'kes                                                  23                     
 95418  48 bet   UMa Merak                                                    2,15,17,19,21,22,23,24
 95418  48 bet   UMa Mirak(also HD6860,129989)                                2                     
 95418  48 bet   UMa Merakh                                                  23                     
 95689  50 alf   UMa Dubhe                                                    2,15,17,19,22         
 95689  50 alf   UMa Dubb; Ak                                                 2                     
 95689  50 alf   UMa Dubkhe                                                  21,23,24               
 95689  50 alf   UMa Dube                                                    23                     
 95689  50 alf   UMa Kaffa(see HD106591)                                     21                     
 97603  68 del   Leo Zosma                                                    2,15,17,23,24         
 97603  68 del   Leo Zozma; Zosca; Zozca; Duhr; Dhur; Zubra                   2                     
 97603  68 del   Leo Tsolma                                                  24                     
 97633  70 the   Leo Chertan                                                  2,15                  
 97633  70 the   Leo Coxa                                                     2,17                  
 97633  70 the   Leo Chort                                                    2                     
 97633  70 the   Leo Khort                                                   24                     
 98230  53 ksi   UMa Alula Australe                                          17                     
 98231  53 ksi   UMa Alula Australis                                          2                     
 98262  54 nu.   UMa Alula Borealis                                           2,15                  
 98262  54 nu.   UMa Alula Boreale                                           17                     
 98430  12 del   Crt Labr                                                    24                     
100029   1 lam   Dra Gianfar                                                  2,17                  
100029   1 lam   Dra Giausar                                                 15                     
100029   1 lam   Dra Giansar; Gaiusar; Giauzar; Juza                          2                     
102224  63 chi   UMa Alkaphrah; El Koprah                                     2                     
102647  94 bet   Leo Denebola                                                 2,15,17,19,21,22,23,24
102647  94 bet   Leo Deneb Aleet                                              2                     
102870   5 bet   Vir Zavijah; Alaraph(see HD113226,116658)                    2,17                  
102870   5 bet   Vir Zavijava                                                 2,15                  
102870   5 bet   Vir Zavyava; Zawijah; Zarijan; Minelauva(also HD112300)      2                     
102870   5 bet   Vir Zavidzhava; Alaraf                                      24                     
102870   5 bet   Vir Al'araf                                                 23                     
103287  64 gam   UMa Phad(also HD37795)                                       2,19                  
103287  64 gam   UMa Phecda                                                   2,15,22               
103287  64 gam   UMa Phekda                                                   2,17                  
103287  64 gam   UMa Phegda; Phekha; Phacd                                    2                     
103287  64 gam   UMa Fekda                                                   21,23,24               
105452   1 alf   Crv Alchita                                                  2,17                  
105452   1 alf   Crv Alchiba; Al Minliar al Ghurab; Al Chiba                  2                     
105452   1 alf   Crv Al'chiba                                                23                     
105707   2 eps   Crv Minkar                                                   2,17,23               
106591  69 del   UMa Megrez                                                   2,15,17,19,22         
106591  69 del   UMa Kaffa                                                    2,17                  
106591  69 del   UMa Megrets                                                 21,23,24               
106625   4 gam   Crv Gienah(also HD197989)                                    2,15                  
106625   4 gam   Crv Gienah Ghurab                                            2                     
