Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 4278;H400 225 - UGC 7386;12h20m07s;29d16m47s;Coma Berenices;Galaxy;10.1;12.8;4.0'x3.9';;33;-;-;XS(42/9);
NGC 4281;H400 226 - UGC 7389;12h20m21s;05d23m09s;Virgo;Galaxy;11.3;12.7;3.0'x1.6';88;57;-;-;XS(25/4);
NGC 4293;H400 227 - UGC 7405;12h21m13s;18d22m56s;Coma Berenices;Galaxy;10.2;12.9;5.5'x2.9';72;45;-;-;XS(35/4);
M 61;H400 228 - NGC 4303;12h21m55s;04d28m20s;Virgo;Galaxy;9.3;13.0;6.5'x5.9';;57;-;-;XS(119/19);
NGC 4314;H400 229 - UGC 7443;12h22m32s;29d53m43s;Coma Berenices;Galaxy;10.5;13.1;3.9'x3.7';;33;-;-;XS(35/6);
NGC 4346;H400 230 - UGC 7463;12h23m28s;46d59m36s;Canes Venatici;Galaxy;11.3;12.6;3.2'x1.3';99;21;-;-;XS(31/5);
NGC 4350;H400 231 - UGC 7473;12h23m58s;16d41m34s;Coma Berenices;Galaxy;11.0;12.4;2.9'x1.6';28;45;-;-;XS(37/6);
NGC 4361;H400 232 - ESO 573-PN19;12h24m31s;-18d47m09s;Corvus;Planetary nebula;10.9;10.8;1.1'x1.1';;69;-;-;XS(52/8);
NGC 4365;H400 233 - UGC 7488;12h24m28s;07d19m01s;Virgo;Galaxy;9.6;13.1;6.5'x4.9';40;45;-;-;XS(29/3);
NGC 4371;H400 234 - UGC 7493;12h24m55s;11d42m13s;Virgo;Galaxy;10.9;13.1;4.0'x2.3';95;45;-;-;XS(29/3);
NGC 4394;H400 235 - UGC 7523;12h25m56s;18d12m49s;Coma Berenices;Galaxy;10.8;13.1;3.4'x3.2';160;45;-;-;XS(60/7);
NGC 4414;H400 236 - UGC 7539;12h26m27s;31d13m23s;Coma Berenices;Galaxy;10.3;12.2;3.6'x2.0';155;33;-;-;XS(36/8);
NGC 4419;H400 237 - UGC 7551;12h26m56s;15d02m50s;Coma Berenices;Galaxy;11.2;12.4;3.3'x1.2';133;45;-;-;XS(29/3);
NGC 4429;H400 238 - UGC 7568;12h27m26s;11d06m25s;Virgo;Galaxy;10.1;12.9;5.8'x2.8';99;45;-;-;XS(32/4);
NGC 4435;H400 239 - UGC 7575;12h27m41s;13d04m45s;Virgo;Galaxy;10.8;12.6;3.0'x2.2';13;45;-;-;XS(76/9);
NGC 4438;H400 240 - UGC 7574;12h27m46s;13d00m29s;Virgo;Galaxy;9.9;13.2;8.5'x3.0';27;45;-;-;XS(86/11);
NGC 4442;H400 241 - UGC 7583;12h28m04s;09d48m12s;Virgo;Galaxy;10.4;12.4;4.5'x1.8';87;45;-;-;XS(25/5);
NGC 4448;H400 242 - UGC 7591;12h28m16s;28d37m15s;Coma Berenices;Galaxy;11.1;12.5;3.6'x1.3';94;33;-;-;XS(31/5);
NGC 4449;Caldwell 21 - H400 243 - UGC 7592;12h28m11s;44d05m40s;Canes Venatici;Galaxy;9.0;12.4;6.2'x4.9';45;21;-;-;XS(86/16);
NGC 4450;H400 244 - UGC 7594;12h28m29s;17d05m01s;Coma Berenices;Galaxy;10.0;13.1;5.4'x4.1';175;45;-;-;XS(31/6);
NGC 4459;H400 245 - UGC 7614;12h29m00s;13d58m41s;Coma Berenices;Galaxy;10.3;12.8;4.0'x3.1';110;45;-;-;XS(49/5);
NGC 4473;H400 246 - UGC 7631;12h29m49s;13d25m45s;Coma Berenices;Galaxy;10.2;12.5;4.2'x2.6';100;45;-;-;XS(67/6);
NGC 4477;H400 247 - UGC 7638;12h30m02s;13d38m11s;Coma Berenices;Galaxy;10.4;12.9;3.7'x3.3';15;45;-;-;XS(58/5);
NGC 4478;H400 248 - UGC 7645;12h30m17s;12d19m41s;Virgo;Galaxy;11.4;12.2;1.8'x1.5';140;45;-;-;XS(56/8);
NGC 4485;H400 249 - UGC 7648;12h30m31s;41d42m01s;Canes Venatici;Galaxy;11.3;12.6;2.4'x1.8';15;21;-;-;XS(86/14);
NGC 4490;H400 250 - UGC 7651 - Cocoon Galaxy;12h30m36s;41d38m32s;Canes Venatici;Galaxy;9.5;12.5;6.4'x3.2';125;21;-;-;XS(113/23);
NGC 4494;H400 251 - UGC 7662;12h31m24s;25d46m29s;Coma Berenices;Galaxy;9.7;12.7;4.5'x4.3';;33;-;-;XS(55/11);
NGC 4526;H400 252 - NGC 4560 - Hairy Eyebrow galaxy;12h34m03s;07d41m54s;Virgo;Galaxy;9.6;12.5;7.0'x2.5';113;45;-;-;XS(52/5);
NGC 4527;H400 253 - UGC 7721;12h34m09s;02d39m10s;Virgo;Galaxy;10.5;13.1;5.9'x2.3';67;57;-;-;XS(26/4);
NGC 4535;H400 254 - UGC 7727 - McLeish's Object;12h34m20s;08d11m49s;Virgo;Galaxy;9.7;13.4;6.9'x5.4';0;45;-;-;XS(42/7);
NGC 4536;H400 255 - UGC 7732;12h34m27s;02d11m12s;Virgo;Galaxy;10.3;13.4;7.1'x3.1';130;57;-;-;XS(24/4);
NGC 4546;H400 256 - MCG -01-32-027;12h35m29s;-03d47m37s;Virgo;Galaxy;10.3;11.8;3.3'x1.6';80;57;-;-;XS(20/3);
